Unnamed: 0.1,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,img_url,extracted_flavors,wine_type,year,clean_description,style
21,73036,Australia,"This restrained, medium-bodied Cabernet Sauvignon is a solid value. On the nose, cedar, vanilla and cassis elements blend together easily, while brown sugar and vanilla flavors are supported by just enough cassis and black cherry fruit. Drink now–2028.",Two Passions,90,20,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Wildberry Estate 2013 Two Passions Cabernet Sauvignon (Margaret River),Cabernet Sauvignon,Wildberry Estate,https://images.vivino.com/thumbs/LnlCbl3sSR6UMqSD5khPbg_pb_x600.png,"['vanilla', 'caramel', 'berry']",red,2013,restrain medium bodied Cabernet Sauvignon solid value nose cedar vanilla cassis element blend easily brown sugar vanilla flavor support cassis black cherry fruit Drink now–2028,Bold and Structured
23,96340,US,"This cool climate region is well-suited to this grape, producing aromatic, elegant wines such as this without the over-the-top perfume that can drive consumers away. Subtle aromas suggest light talc, acacia and calla lily, while in the mouth this is soft and smooth. Overall it's just plain pretty, with details of apple and apple skin.",Gorge Crest,90,28,Oregon,Columbia Gorge (OR),Oregon Other,Paul Gregutt,@paulgwine ,Phelps Creek 2015 Gorge Crest Gewürztraminer (Columbia Gorge (OR)),Gewürztraminer,Phelps Creek,https://images.vivino.com/thumbs/Tv2LkcuGTwGcZBXsT1ATTA_150x200.jpg,['fruit'],white,2015,cool climate region suit grape produce aromatic elegant wine perfume drive consumer away subtle aroma suggest light talc acacia calla lily mouth soft smooth overall plain pretty detail apple apple skin,Outlier/Not Classified
24,9203,Portugal,"A soft apple-tinged wine, with bright acidity that cuts right through. The wine is rounded, with just enough crispness. Ready to drink.",Conde de Vimioso Colheita Seleccionada,86,9,Tejo,,,Roger Voss,@vossroger,Falua 2010 Conde de Vimioso Colheita Seleccionada White (Tejo),Portuguese White,Falua,https://images.vivino.com/thumbs/HHE-bXYWSZ-cKB2DHSzwOw_pb_x600.png,['fruit'],white,2010,soft apple tinge wine bright acidity cut right wine round crispness ready drink,Concentrated and Fruity
25,88712,Italy,"Here's a Pinot Grigio that ranks high in terms of fresh, easy-drinking white wine options from northern Italy. The bouquet delivers crisp tones of honeydew melon, herb and a distant mineral dusting. In the mouth, it shows balanced freshness and a bright peach finish.",,87,17,Northeastern Italy,Alto Adige,,,,Erste Neue 2011 Pinot Grigio (Alto Adige),Pinot Grigio,Erste Neue,https://images.vivino.com/thumbs/SZA-ExzjRmWX6MUby-RPDg_pb_x600.png,"['mineral', 'caramel', 'herbs', 'fruit']",white,2011,Pinot Grigio rank high term fresh easy drinking white wine option northern Italy bouquet deliver crisp tone honeydew melon herb distant mineral dusting mouth show balanced freshness bright peach finish,Light and Fruity
26,38625,Spain,"Sweaty and pickled at first, although airing reveals some hidden dark fruit aromas. The palate is grapy and accented by black plum, yet it finishes salty and cheeky, with grabby tannins. Has it good points but lacks direction and elegance.",Viña Tobía,84,11,Northern Spain,Rioja,,Michael Schachner,@wineschach,Bodegas Tobía 2005 Viña Tobía  (Rioja),Tempranillo,Bodegas Tobía,https://images.vivino.com/thumbs/OG-ols90Rv2eNR1RIo8nkA_pb_x600.png,['fruit'],red,2005,Sweaty pickle airing reveal hide dark fruit aroma palate grapy accent black plum finish salty cheeky grabby tannin good point lack direction elegance,Spicy and Aromatic
27,74575,Italy,"This plush Syrah opens with a pretty ruby color and thick, almost syrupy, tones of blueberry and raspberry. The fruit aromas are followed by spice and roasted almonds and the wine is succulent and chewy to the very end.",Una Viola Signature,88,16,Sicily & Sardinia,Sicilia,,,,Spadina 2006 Una Viola Signature Syrah (Sicilia),Syrah,Spadina,https://images.vivino.com/thumbs/o74N9sUrQrecZt-o0LXEww_150x200.jpg,"['wood', 'spice', 'nuts', 'berry']",red,2006,plush Syrah open pretty ruby color thick syrupy tone blueberry raspberry fruit aroma follow spice roasted almond wine succulent chewy end,Outlier/Not Classified
28,129599,France,"This is pretty pale for a Tavel, with a coppery tinge to its pink color. Notes of lime zest, wet stone and modest cherry-berry notes finish on a bright citrus note.",,90,24,Rhône Valley,Tavel,,Joe Czerwinski,@JoeCz,Prieuré de Montézargues 2014  Tavel,Rosé,Prieuré de Montézargues,https://images.vivino.com/thumbs/dSh4paZaTmuMruJoZaZ6XQ_pb_x600.png,"['mineral', 'citrus', 'berry']",rosé,2014,pretty pale Tavel coppery tinge pink color note lime zest wet stone modest cherry berry note finish bright citrus note,Crisp and Citrusy
29,2062,US,"This brilliant Sauvignon Blanc should be scooped up by sommeliers. It's exceptionally dry and tart in citrusy acids, with a mineral scour that's perfect for shellfish or savory appetizers. The flavors are of lemons, limes, gooseberries and white pepper. Beautiful and compelling.",,91,17,California,Napa Valley,Napa,,,Broman 2008 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Broman,https://images.vivino.com/thumbs/wBsVJMEgSD2OVk1At-NVhA_pb_x600.png,"['spice', 'mineral', 'citrus']",white,2008,brilliant Sauvignon Blanc scoop sommelier exceptionally dry tart citrusy acid mineral scour perfect shellfish savory appetizer flavor lemon lime gooseberry white pepper beautiful compelling,Crisp and Citrusy
30,59333,Argentina,"Foxy berry aromas are the lead scent, and they're followed by notes of wet dog and raspberry. This is full bodied and round as a ball, with earthy, lightly herbal flavors of red berries, thyme and rosemary. A warm, loamy finish brings oaky flavors and closing weight. Drink this blend of 70% Malbec and 30% Cabernet Sauvignon through 2016.",Amancaya Gran Reserva,89,21,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Bodegas Caro 2011 Amancaya Gran Reserva Malbec-Cabernet Sauvignon (Mendoza),Malbec-Cabernet Sauvignon,Bodegas Caro,https://images.vivino.com/thumbs/fd8kfukRQyS0PfYhk17RgA_pb_x600.png,"['wood', 'herbs', 'flowers', 'mineral', 'berry']",red,2011,Foxy berry aroma lead scent follow note wet dog raspberry bodied round ball earthy lightly herbal flavor red berry thyme rosemary warm loamy finish bring oaky flavor closing weight drink blend 70 Malbec 30 Cabernet Sauvignon 2016,Crisp and Citrusy
31,51953,South Africa,"A decadent blend of ripe berries and rich oak characterizes this wine; sweet smoke and baking spice mingle harmoniously with notes of mashed raspberry and blackberry, accented by hints of hickory-cured bacon and raw cocoa nibs. The medium-weight mouth is structured and bold, with chewy tannins and heady flavors of plum and berry preserves, roasted coffee and sweet licorice. The finish is long and dry, and although this would certainly benefit from 5–10 years of cellaring time, it's approachable now with decanting.",Redhill,92,38,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Simonsig 2011 Redhill Pinotage (Stellenbosch),Pinotage,Simonsig,https://images.vivino.com/thumbs/5XitmhWjQi-Fee5dnig1Ug_pb_x600.png,"['wood', 'smoky', 'chocolate', 'fruit', 'coffee', 'berry', 'spice']",red,2011,decadent blend ripe berry rich oak characterize wine sweet smoke bake spice mingle harmoniously note mashed raspberry blackberry accent hint hickory cure bacon raw cocoa nib medium weight mouth structure bold chewy tannin heady flavor plum berry preserve roasted coffee sweet licorice finish long dry certainly benefit 5–10 year cellare time approachable decant,Outlier/Not Classified
32,50600,US,"Tastes a bit medicinal, with a sweet-sour quality of lemons and pineapples, and is quite acidic. Lacks richness, but it's a decent everyday Chardonnay.",,83,14,California,Central Coast,Central Coast,,,Castoro Cellars 2007 Chardonnay (Central Coast),Chardonnay,Castoro Cellars,https://images.vivino.com/thumbs/jVYIqLV6S8OTAckqhAD6uw_pb_x600.png,"['citrus', 'fruit']",white,2007,taste bit medicinal sweet sour quality lemon pineapple acidic lack richness decent everyday Chardonnay,Sweet and Buttery
33,93473,Portugal,"Quinta do Pégo produces a light, fast maturing style of vintage Port. This 2009 has the bonus of great richness, although its fruity character and soft tannins suggest it will mature rapidly.",Quinta do Pégo Vintage,87,28,Port,,,Roger Voss,@vossroger,Rozes 2009 Quinta do Pégo Vintage  (Port),Port,Rozes,https://images.vivino.com/thumbs/6M59TLRiQfqL2Sc2Af_olg_pb_x600.png,[],dessert,2009,Quinta Pégo produce light fast mature style vintage Port 2009 bonus great richness fruity character soft tannin suggest mature rapidly,Concentrated and Fruity
34,105270,US,"A surprisingly green tinge vies with tobacco, raspberry and woodspice for attention. This wine is full in feel with good concentration of flavors but ultimately the greenness provides distraction.",,88,28,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Tamarack Cellars 2012 Merlot (Columbia Valley (WA)),Merlot,Tamarack Cellars,https://images.vivino.com/thumbs/_IKnS57MSImsoaBxM2zO1g_pb_x600.png,"['wood', 'spice', 'smoky', 'berry']",red,2012,surprisingly green tinge vie tobacco raspberry woodspice attention wine feel good concentration flavor ultimately greenness provide distraction,Concentrated and Fruity
35,25069,France,"Dense and dry, this is a tough, extracted wine. It has a hard edge followed by juicy acidity and will probably remain on the dry side.",,85,20,Bordeaux,Blaye Côtes de Bordeaux,,Roger Voss,@vossroger,Château Grand Bourgeau 2015  Blaye Côtes de Bordeaux,Bordeaux-style Red Blend,Château Grand Bourgeau,https://images.vivino.com/thumbs/OFxWiWMbRHWc9AZyLvOc-g_pb_x600.png,[],red,2015,dense dry tough extract wine hard edge follow juicy acidity probably remain dry,Concentrated and Fruity
36,1472,US,"This varietal Cabernet Sauvignon hails from the producer's organic Chiles Valley estate. It's muscular and lushly layered, with spicy leather and tobacco notes accented by a delicate touch of violet and supported by firm, grippy tannin. Drink now through 2033.",Sievers Reserve,93,80,California,Napa Valley,Napa,Virginie Boone,@vboone,Volker Eisele Family Estate 2013 Sievers Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Volker Eisele Family Estate,https://images.vivino.com/thumbs/urLiZoUVSHGrvfOMm-48tA_150x200.jpg,"['leather', 'smoky']",red,2013,varietal Cabernet Sauvignon hail producer organic Chiles Valley estate muscular lushly layered spicy leather tobacco note accent delicate touch violet support firm grippy tannin drink 2033,Bold and Structured
37,54640,Spain,"Standard berry aromas show touches of raisin and earth, but not too much of either. It feels fresh, crisp and alert, with cherry tomato, berry fruit, tobacco and vanilla flavors. This feels healthy but not real deep or complex on the finish.",Single Vineyard Roble,86,13,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Finca El Encinal 2009 Single Vineyard Roble  (Ribera del Duero),Tempranillo,Finca El Encinal,https://images.vivino.com/thumbs/eJwxOzumTuuU2tnFG0165A_pb_x600.png,"['smoky', 'vanilla', 'mineral', 'berry']",red,2009,standard berry aromas touch raisin earth feel fresh crisp alert cherry tomato berry fruit tobacco vanilla flavor feel healthy real deep complex finish,Outlier/Not Classified
38,118066,US,"The blend is mainly Cabernet Sauvignon, with the other four classic Bordeaux varieties added for complexity. The grapes were sourced from vineyards throughout Sonoma County, and the finished wine was aged in 75% new oak. It's very fine, with concentrated, intense blackberry, cherry and crème de cassis flavors.Minerality, in the form of granite, lends a lick of stone. It's still extremely tannic, and needs much more timebefore it begins to come around.",La Joie,96,450,California,Sonoma County,Sonoma,,,Verité 2007 La Joie Red (Sonoma County),Bordeaux-style Red Blend,Verité,https://images.vivino.com/thumbs/7Wf5P_5qRhW7GD0kTo1Gjg_pb_x600.png,"['fruit', 'wood', 'mineral', 'berry']",red,2007,blend mainly Cabernet Sauvignon classic Bordeaux variety add complexity grape source vineyard Sonoma County finished wine age 75 new oak fine concentrated intense blackberry cherry crème de cassis flavor Minerality form granite lend lick stone extremely tannic need timebefore begin come,Bold and Structured
40,73985,France,"A gorgeously perfumed wine, dominated by the ripest Cabernet Franc, combining richness and an intense structure. With its tannins, it will age well over many years. The fruit is finely textured, deliciously juicy, showing the most complex series of flavors.",,95,295,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Le Dôme 2009  Saint-Émilion,Bordeaux-style Red Blend,Le Dôme,https://images.vivino.com/thumbs/Ietk3C8IQu6v4Ajk8kZk5g_pb_x600.png,[],red,2009,gorgeously perfume wine dominate ripe Cabernet Franc combine richness intense structure tannin age year fruit finely texture deliciously juicy show complex series flavor,Concentrated and Fruity
41,48269,US,"New oak dominates this wine, giving it aromas of toast and vanilla. After decanting, the air brings out interesting notes of dried herbs and blackberries. Tastes very rich and flamboyant, almost sweet, like a chocolate berry pastry, and should develop over the next few years. Mainly Cabernet Sauvignon, with Sangiovese, Cabernet Franc and Petit Verdot.",Meritaggio,90,55,California,Napa Valley,Napa,,,David Arthur 2008 Meritaggio Red (Napa Valley),Red Blend,David Arthur,https://images.vivino.com/thumbs/yVvWxjx4RMGpxQvUIzUPdw_pb_x600.png,"['wood', 'chocolate', 'herbs', 'coffee', 'berry', 'vanilla']",red,2008,new oak dominate wine give aroma toast vanilla decant air bring interesting note dry herb blackberry taste rich flamboyant sweet like chocolate berry pastry develop year mainly Cabernet Sauvignon Sangiovese Cabernet Franc Petit Verdot,Rich and Tannic
42,88504,Australia,"This blend of 79% Sauvignon Blanc and 21% Semillon is pungent and sweaty, with an almost Collio-like pungency. It's a bold, in-your-face passion-fruit monster that fades quickly on the finish.",Miamup,88,23,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Howard Park 2015 Miamup Sauvignon Blanc-Semillon (Margaret River),Sauvignon Blanc-Semillon,Howard Park,https://images.vivino.com/thumbs/Nik7iUEURLiA_Al5eF8eMQ_pb_x600.png,[],white,2015,blend 79 Sauvignon Blanc 21 Semillon pungent sweaty collio like pungency bold face passion fruit monster fade quickly finish,Crisp and Citrusy
43,102631,Portugal,"All the warm southern heat of the Alentejo is in this wine. It is rich, generous and full of ripe, black fruits. Berries and juicy damsons are spiced with pepper, rich tannins and lifted by acidity. It is a wine for big meat dishes, for stews, a powerful, no-holds-barred style. It will be ready to drink from 2017.",Azul Portugal Reserva,90,40,Alentejano,,,Roger Voss,@vossroger,Wines & Winemakers 2013 Azul Portugal Reserva Red (Alentejano),Portuguese Red,Wines & Winemakers,https://images.vivino.com/thumbs/yzV4adVdSd-XlMzXthg5lw_150x200.jpg,['spice'],red,2013,warm southern heat Alentejo wine rich generous ripe black fruit berry juicy damson spice pepper rich tannin lift acidity wine big meat dish stew powerful holds bar style ready drink 2017,Outlier/Not Classified
44,64187,South Africa,"73% Merlot, with Cabernet and Petite Verdot making up the difference, this is a finely crafted and delicious effort. Medium-bodied and creamy, the Merlot gives this wine a feminine feel, despite solid, soft tannins. Dark, extracted black fruits have some accents of forest and black olive, while leather adds to the cherry and cassis nose. Could use time to soften further, but very approachable now.",,90,55,Stellenbosch,,,,,Tokara 2003 Red (Stellenbosch),Bordeaux-style Red Blend,Tokara,https://images.vivino.com/thumbs/vImjS426TtOHAcegEWV95g_pb_x600.png,"['leather', 'berry']",red,2003,73 Merlot Cabernet Petite Verdot make difference finely craft delicious effort medium bodied creamy Merlot give wine feminine feel despite solid soft tannin Dark extract black fruit accent forest black olive leather add cherry cassis nose use time soften approachable,Bold and Structured
47,121814,France,"This wine is firm with solid tannins. It has rich fruit and concentration with layers of blackberry and dark plums. It comes from a small seven-acre property and is aged for 15 months in wood. This impressive wine needs to age, so drink from 2022.",Cuvée Excellence,92,35,Bordeaux,Pomerol,,Roger Voss,@vossroger,Château Lafleur du Roy 2015 Cuvée Excellence  (Pomerol),Bordeaux-style Red Blend,Château Lafleur du Roy,https://images.vivino.com/thumbs/d2-B02AkQfqFqH67HhHbWQ_150x200.jpg,"['fruit', 'wood', 'berry']",red,2015,wine firm solid tannin rich fruit concentration layer blackberry dark plum come small seven acre property age 15 month wood impressive wine need age drink 2022,Concentrated and Fruity
48,81493,Italy,"This opens with delicate scents of field flower and white stone fruit. On the creamy off-dry palate, a soft mousse backs up sweet white peach, green apple and a candied citrus note while bright acidity lends freshness.",Dry,88,22,Veneto,Valdobbiadene Prosecco Superiore,,Kerin O’Keefe,@kerinokeefe,Andreola 2016 Dry  (Valdobbiadene Prosecco Superiore),Glera,Andreola,https://images.vivino.com/thumbs/Gx0s6cynSqOpDZrlOowQTg_pb_x600.png,"['fruit', 'flowers', 'mineral', 'caramel', 'citrus']",sparkling,2016,open delicate scent field flower white stone fruit creamy dry palate soft mousse back sweet white peach green apple candy citrus note bright acidity lend freshness,Crisp and Citrusy
49,54403,France,"Steely, minerally and very textured, this has concentratio and taut layer of acidity to go with the lime fruit. Powered by its structure, it will age for 3–4 years.",Vau de Vey Premier Cru,92,36,Burgundy,Chablis,,Roger Voss,@vossroger,Romain Bouchard 2010 Vau de Vey Premier Cru  (Chablis),Chardonnay,Romain Bouchard,https://images.vivino.com/thumbs/nx0WIdB9TYmuU68w-8CBuQ_150x200.jpg,"['mineral', 'citrus']",white,2010,steely minerally textured concentratio taut layer acidity lime fruit power structure age 3–4 year,Concentrated and Fruity
50,59409,US,"This wine is hugely robust in concentration and power, a study in mountain-grown brambly berry and serious tannin. Bark, pencil and a wealth of spiced plum form the core of its character, with secondary elements of cherry and cigar box coming into play over time. Enjoy best beginning in 2024 through 2034.",Stir It Up Stagecoach Vineyard,94,110,California,Napa Valley,Napa,Virginie Boone,@vboone,World's End 2014 Stir It Up Stagecoach Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,World's End,https://images.vivino.com/thumbs/OYtpajPMT12gkOeE4AJrzw_pb_x600.png,"['fruit', 'spice', 'berry']",red,2014,wine hugely robust concentration power study mountain grow brambly berry tannin Bark pencil wealth spiced plum form core character secondary element cherry cigar box come play time enjoy well begin 2024 2034,Outlier/Not Classified
51,15304,Italy,"Black plum, tilled soil, leather and grilled sage aromas lead the nose on this structured wine. The dense palate delivers blackberry, blueberry, dried date, roasted coffee bean and mocha alongside firm, drying tannins. A licorice note marks the finish.",Podere Le Maragnole,89,45,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Le Bertarole 2010 Podere Le Maragnole  (Amarone della Valpolicella Classico),Red Blend,Le Bertarole,https://images.vivino.com/thumbs/fWKfTyqUSCKNZL_HTF9s6g_150x200.jpg,"['wood', 'smoky', 'chocolate', 'herbs', 'fruit', 'leather', 'coffee', 'berry', 'spice']",red,2010,black plum tilled soil leather grill sage aroma lead nose structured wine dense palate deliver blackberry blueberry dry date roasted coffee bean mocha alongside firm dry tannin licorice note mark finish,Outlier/Not Classified
52,82129,US,"There's a touch of crushed ant aroma on the nose of this wine from an old Paso vineyard, which also also gives scents of ripe stone fruit, lime pith and dill. Once sipped, a pear juice flavor dominates along with a lime juice-on-nectarine element that adds a sour twist.",HMR Vineyard,88,40,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Adelaida 2013 HMR Vineyard Chardonnay (Paso Robles),Chardonnay,Adelaida,https://images.vivino.com/thumbs/SNDfXIRRQsy7aTwvcDZyYQ_pb_x600.png,"['mineral', 'citrus', 'fruit']",white,2013,touch crush ant aroma nose wine old Paso vineyard give scent ripe stone fruit lime pith dill sip pear juice flavor dominate lime juice nectarine element add sour twist,Crisp and Citrusy
