,Unnamed: 0.1,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,img_url,extracted_flavors,wine_type,year
17,25,88712,Italy,"Here's a Pinot Grigio that ranks high in terms of fresh, easy-drinking white wine options from northern Italy. The bouquet delivers crisp tones of honeydew melon, herb and a distant mineral dusting. In the mouth, it shows balanced freshness and a bright peach finish.",,87,17,Northeastern Italy,Alto Adige,,,,Erste Neue 2011 Pinot Grigio,Pinot Grigio,Erste Neue,https://images.squarespace-cdn.com/content/v1/5efb98a1a164d25189096e25/1617904148416-PQ8Y4559FRK21OB0OBNM/Erste+7+Neue.png,"['peach', 'herb', 'honey', 'mineral']",white,2011
18,26,38625,Spain,"Sweaty and pickled at first, although airing reveals some hidden dark fruit aromas. The palate is grapy and accented by black plum, yet it finishes salty and cheeky, with grabby tannins. Has it good points but lacks direction and elegance.",Viña Tobía,84,11,Northern Spain,Rioja,,Michael Schachner,@wineschach,Bodegas Tobía 2005 Viña Tobía,Tempranillo,Bodegas Tobía,https://jamonesibericosmadrid.com/wp-content/uploads/2021/01/tobia-seleccion-de-autor-tinto-2017-2.jpg,"['fruit', 'plum']",red,2005
19,27,74575,Italy,"This plush Syrah opens with a pretty ruby color and thick, almost syrupy, tones of blueberry and raspberry. The fruit aromas are followed by spice and roasted almonds and the wine is succulent and chewy to the very end.",Una Viola Signature,88,16,Sicily & Sardinia,Sicilia,,,,Spadina 2006 Una Viola Signature Syrah,Syrah,Spadina,https://www.nataliemaclean.com/images/winepicks/0dbb9ec34d2eb5baad874a49596b4b17/12645-label.jpg,"['fruit', 'berry', 'spice', 'almond']",red,2006
20,28,129599,France,"This is pretty pale for a Tavel, with a coppery tinge to its pink color. Notes of lime zest, wet stone and modest cherry-berry notes finish on a bright citrus note.",,90,24,Rhône Valley,Tavel,,Joe Czerwinski,@JoeCz,Prieuré de Montézargues 2014  Tavel,Rosé,Prieuré de Montézargues,https://www.kenswineguide.com/images_wine/Prieure-de-Montezargues-2014-Rose.gif,"['berry', 'citrus', 'cherry', 'lime']",rosé,2014
21,29,2062,US,"This brilliant Sauvignon Blanc should be scooped up by sommeliers. It's exceptionally dry and tart in citrusy acids, with a mineral scour that's perfect for shellfish or savory appetizers. The flavors are of lemons, limes, gooseberries and white pepper. Beautiful and compelling.",,91,17,California,Napa Valley,Napa,,,Broman 2008 Sauvignon Blanc,Sauvignon Blanc,Broman,https://naples.floridaweekly.com/wp-content/uploads/images/2010-04-08/094p4.jpg,"['citrus', 'lemon', 'lime', 'pepper', 'mineral', 'lemon']",white,2008
22,30,59333,Argentina,"Foxy berry aromas are the lead scent, and they're followed by notes of wet dog and raspberry. This is full bodied and round as a ball, with earthy, lightly herbal flavors of red berries, thyme and rosemary. A warm, loamy finish brings oaky flavors and closing weight. Drink this blend of 70% Malbec and 30% Cabernet Sauvignon through 2016.",Amancaya Gran Reserva,89,21,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Bodegas Caro 2011 Amancaya Gran Reserva Malbec-Cabernet Sauvignon,Malbec-Cabernet Sauvignon,Bodegas Caro,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiwwQ9940TYwabjfExXHYySsGRTgj3232be3IwRIRYVgVx8_E4aHrXuCEFQGzdn5TEBzI1P7xq4aPFcI_Iv0ce36k2b7I8CBjOKVrVlGVC4HLb8muNdMTHqLo3wwSlc2aU_A7Kvm7TV_sc2/s1600/AmancayaWide.jpg,"['berry', 'oak', 'herb', 'earth']",red,2011
23,31,51953,South Africa,"A decadent blend of ripe berries and rich oak characterizes this wine; sweet smoke and baking spice mingle harmoniously with notes of mashed raspberry and blackberry, accented by hints of hickory-cured bacon and raw cocoa nibs. The medium-weight mouth is structured and bold, with chewy tannins and heady flavors of plum and berry preserves, roasted coffee and sweet licorice. The finish is long and dry, and although this would certainly benefit from 5–10 years of cellaring time, it's approachable now with decanting.",Redhill,92,38,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Simonsig 2011 Redhill Pinotage,Pinotage,Simonsig,https://www.wineenthusiast.com/wp-content/assets/reviews/label-images/wine/wine/186071_55BE_MAR14_3390.jpg,"['berry', 'oak', 'spice', 'smoke', 'coffee', 'cocoa', 'plum']",red,2011
24,32,50600,US,"Tastes a bit medicinal, with a sweet-sour quality of lemons and pineapples, and is quite acidic. Lacks richness, but it's a decent everyday Chardonnay.",,83,14,California,Central Coast,Central Coast,,,Castoro Cellars 2007 Chardonnay,Chardonnay,Castoro Cellars,https://www.wineenthusiast.com/wp-content/uploads/2024/05/Tasting-Room-Front-2-1-629x624.jpg,"['apple', 'lemon', 'lemon']",white,2007
25,33,93473,Portugal,"Quinta do Pégo produces a light, fast maturing style of vintage Port. This 2009 has the bonus of great richness, although its fruity character and soft tannins suggest it will mature rapidly.",Quinta do Pégo Vintage,87,28,Port,,,Roger Voss,@vossroger,Rozes 2009 Quinta do Pégo Vintage,Port,Rozes,https://www.internationalwinechallenge.com/canopy/images/wine_images/IWC/wine/2014/zoom/6051.jpg,['fruit'],dessert,2009
26,34,105270,US,"A surprisingly green tinge vies with tobacco, raspberry and woodspice for attention. This wine is full in feel with good concentration of flavors but ultimately the greenness provides distraction.",,88,28,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Tamarack Cellars 2012 Merlot ),Merlot,Tamarack Cellars,"https://tam.imgix.net/common/images/products/tc-2012-sagemoor-vineyard-reserve-mainLg.png?auto=compress,format&trim=color&fit=fill&bg=00cccccc&pad=20&h=600&w=246","['berry', 'spice']",red,2012
27,35,25069,France,"Dense and dry, this is a tough, extracted wine. It has a hard edge followed by juicy acidity and will probably remain on the dry side.",,85,20,Bordeaux,Blaye Côtes de Bordeaux,,Roger Voss,@vossroger,Château Grand Bourgeau 2015  Blaye Côtes de Bordeaux,Bordeaux-style Red Blend,Château Grand Bourgeau,https://images.vivino.com/thumbs/00ikc8fux7sur_375x500.jpg,[],red,2015
28,36,1472,US,"This varietal Cabernet Sauvignon hails from the producer's organic Chiles Valley estate. It's muscular and lushly layered, with spicy leather and tobacco notes accented by a delicate touch of violet and supported by firm, grippy tannin. Drink now through 2033.",Sievers Reserve,93,80,California,Napa Valley,Napa,Virginie Boone,@vboone,Volker Eisele Family Estate 2013 Sievers Reserve Cabernet Sauvignon,Cabernet Sauvignon,Volker Eisele Family Estate,https://cdn.ct-static.com/labels/6030a771-5455-4782-86a4-dadb8fe3e283.jpg,['leather'],red,2013
29,37,54640,Spain,"Standard berry aromas show touches of raisin and earth, but not too much of either. It feels fresh, crisp and alert, with cherry tomato, berry fruit, tobacco and vanilla flavors. This feels healthy but not real deep or complex on the finish.",Single Vineyard Roble,86,13,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Finca El Encinal 2009 Single Vineyard Roble,Tempranillo,Finca El Encinal,https://www.jamessuckling.com/shared/uploads/2022/05/cantina-terran-min-1-e1652850620332.jpg,"['fruit', 'berry', 'cherry', 'vanilla', 'earth']",red,2009
30,38,118066,US,"The blend is mainly Cabernet Sauvignon, with the other four classic Bordeaux varieties added for complexity. The grapes were sourced from vineyards throughout Sonoma County, and the finished wine was aged in 75% new oak. It's very fine, with concentrated, intense blackberry, cherry and crème de cassis flavors.Minerality, in the form of granite, lends a lick of stone. It's still extremely tannic, and needs much more timebefore it begins to come around.",La Joie,96,450,California,Sonoma County,Sonoma,,,Verité 2007 La Joie Red,Bordeaux-style Red Blend,Verité,https://vintagedrinksonline.co.uk/wp-content/uploads/2023/02/UNI01600.jpg,"['berry', 'cherry', 'oak', 'mineral']",red,2007
31,40,73985,France,"A gorgeously perfumed wine, dominated by the ripest Cabernet Franc, combining richness and an intense structure. With its tannins, it will age well over many years. The fruit is finely textured, deliciously juicy, showing the most complex series of flavors.",,95,295,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Le Dôme 2009  Saint-Émilion,Bordeaux-style Red Blend,Le Dôme,https://cdn.klwines.com/images/skus/1114481x.jpg,['fruit'],red,2009
32,41,48269,US,"New oak dominates this wine, giving it aromas of toast and vanilla. After decanting, the air brings out interesting notes of dried herbs and blackberries. Tastes very rich and flamboyant, almost sweet, like a chocolate berry pastry, and should develop over the next few years. Mainly Cabernet Sauvignon, with Sangiovese, Cabernet Franc and Petit Verdot.",Meritaggio,90,55,California,Napa Valley,Napa,,,David Arthur 2008 Meritaggio Red,Red Blend,David Arthur,https://www.davidarthur.com/wp-content/uploads/2019/04/wines_15meritaggio.png,"['berry', 'chocolate', 'vanilla', 'oak', 'herb']",red,2008
33,42,88504,Australia,"This blend of 79% Sauvignon Blanc and 21% Semillon is pungent and sweaty, with an almost Collio-like pungency. It's a bold, in-your-face passion-fruit monster that fades quickly on the finish.",Miamup,88,23,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Howard Park 2015 Miamup Sauvignon Blanc-Semillon,Sauvignon Blanc-Semillon,Howard Park,https://winebow-files.s3.amazonaws.com/public/styles/algolia_products/public/vintage/bottleshots/I0009403_howard-park2016miamup-sbs.jpg?VersionId=4tuK0P5.RobohVslHUZoIo1pvUu86XHM&itok=Ghyzky_1,['fruit'],white,2015
34,43,102631,Portugal,"All the warm southern heat of the Alentejo is in this wine. It is rich, generous and full of ripe, black fruits. Berries and juicy damsons are spiced with pepper, rich tannins and lifted by acidity. It is a wine for big meat dishes, for stews, a powerful, no-holds-barred style. It will be ready to drink from 2017.",Azul Portugal Reserva,90,40,Alentejano,,,Roger Voss,@vossroger,Wines & Winemakers 2013 Azul Portugal Reserva Red,Portuguese Red,Wines & Winemakers,https://winehouseportugal.com/15041-home_default/azul-portugalsko-alentejo-reserva-2013-cervene-vino.jpg,"['fruit', 'spice', 'pepper']",red,2013
35,44,64187,South Africa,"73% Merlot, with Cabernet and Petite Verdot making up the difference, this is a finely crafted and delicious effort. Medium-bodied and creamy, the Merlot gives this wine a feminine feel, despite solid, soft tannins. Dark, extracted black fruits have some accents of forest and black olive, while leather adds to the cherry and cassis nose. Could use time to soften further, but very approachable now.",,90,55,Stellenbosch,,,,,Tokara 2003 Red,Bordeaux-style Red Blend,Tokara,https://cdn.ct-static.com/labels/97d8f3e9-6e44-4b75-bb25-925e04ef9e0a.jpg,"['fruit', 'cherry', 'leather']",red,2003
36,47,121814,France,"This wine is firm with solid tannins. It has rich fruit and concentration with layers of blackberry and dark plums. It comes from a small seven-acre property and is aged for 15 months in wood. This impressive wine needs to age, so drink from 2022.",Cuvée Excellence,92,35,Bordeaux,Pomerol,,Roger Voss,@vossroger,Château Lafleur du Roy 2015 Cuvée Excellence,Bordeaux-style Red Blend,Château Lafleur du Roy,http://merchantofwine.com/cdn/shop/products/Chateau-Lafleur-du-Roy-Cuvee-Excellence-Bordeaux-France-2014.jpg?crop=center&height=1200&v=1672691261&width=1200,"['fruit', 'berry', 'plum']",red,2015
37,48,81493,Italy,"This opens with delicate scents of field flower and white stone fruit. On the creamy off-dry palate, a soft mousse backs up sweet white peach, green apple and a candied citrus note while bright acidity lends freshness.",Dry,88,22,Veneto,Valdobbiadene Prosecco Superiore,,Kerin O’Keefe,@kerinokeefe,Andreola 2016 Dry,Glera,Andreola,https://static.xtrawine.com/images/products/wines/andreola-valdobbiadene-vigneto-dirupo-extra-dry_26275_1.webp,"['fruit', 'citrus', 'apple', 'peach']",sparkling,2016
38,49,54403,France,"Steely, minerally and very textured, this has concentratio and taut layer of acidity to go with the lime fruit. Powered by its structure, it will age for 3–4 years.",Vau de Vey Premier Cru,92,36,Burgundy,Chablis,,Roger Voss,@vossroger,Romain Bouchard 2010 Vau de Vey Premier Cru,Chardonnay,Romain Bouchard,https://www.magnumdevin.com/2784-large_default/magnum-white-wine-chablis-1er-cru-vau-vey-domaine-de-l-enclos-2022.jpg,"['fruit', 'lime', 'mineral']",white,2010
39,50,59409,US,"This wine is hugely robust in concentration and power, a study in mountain-grown brambly berry and serious tannin. Bark, pencil and a wealth of spiced plum form the core of its character, with secondary elements of cherry and cigar box coming into play over time. Enjoy best beginning in 2024 through 2034.",Stir It Up Stagecoach Vineyard,94,110,California,Napa Valley,Napa,Virginie Boone,@vboone,World's End 2014 Stir It Up Stagecoach Vineyard Cabernet Sauvignon,Cabernet Sauvignon,World's End,https://portal.wine.delivery/media/catalog/product/cache/image/1080x1080/e9c3970ab036de70892d86c6d221abfe/2/6/269577_world_s_end_stir_it_up_stagecoach_cabernet_sauvignon_2014_pp.jpg,"['berry', 'cherry', 'spice', 'plum']",red,2014
40,51,15304,Italy,"Black plum, tilled soil, leather and grilled sage aromas lead the nose on this structured wine. The dense palate delivers blackberry, blueberry, dried date, roasted coffee bean and mocha alongside firm, drying tannins. A licorice note marks the finish.",Podere Le Maragnole,89,45,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Le Bertarole 2010 Podere Le Maragnole,Red Blend,Le Bertarole,https://www.wineenthusiast.com/wp-content/uploads/2024/08/08_24_Full_Bodied_Reds_HERO_Wine.com_700x466-290x191.jpg,"['berry', 'leather', 'coffee', 'plum']",red,2010
41,52,82129,US,"There's a touch of crushed ant aroma on the nose of this wine from an old Paso vineyard, which also also gives scents of ripe stone fruit, lime pith and dill. Once sipped, a pear juice flavor dominates along with a lime juice-on-nectarine element that adds a sour twist.",HMR Vineyard,88,40,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Adelaida 2013 HMR Vineyard Chardonnay,Chardonnay,Adelaida,x-raw-image:///2315140fe8e2b70727b1eb49679fb83330844b93879180fbf303d661cfac1437,"['fruit', 'pear', 'lime']",white,2013
42,53,76560,Italy,"Diomede is a plusher, chewier expression of Aglianico with background notes of vanilla and sweet spice that peek between dominant aromas of blackberry and cassis. Like other expressions of this tannic grape, what distinguishes this wine is its firm structure that should be paired to fatty meat or succulent steak.",Diomede,89,35,Southern Italy,Aglianico del Taburno,,,,Ocone 2004 Diomede,Aglianico,Ocone,https://www.wine.com/content/media/jc70ljquxrra/6IUx1qCu3KuCAU2waQeYAC/8cc22fd3a1cb554d4446a847e3ab8f3a/winery-generic-3.jpg?w=1920&q=50,"['berry', 'vanilla', 'spice']",red,2004
43,54,51109,US,"Robust and country-style, this is a nice wine for barbecue and beef stews. Very dry and tannic, it shows harmonious flavors of blackberries, currants and wild nettles. Buy this young wine for your full-bodied house red.",Saxy,87,12,California,North Coast,North Coast,,,R & B Cellars 2006 Saxy Syrah,Syrah,R & B Cellars,"https://www.wine-searcher.com/images/labels/47/97/10554797.jpg?width=260&height=260&fit=bounds&canvas=260,260",[],red,2006
44,55,102586,US,"Fruit-forward and simple, with the sugared taste of black cherry jam. Very high alcohol shows up in the form of jalapeño pepper heat.",Estate,82,25,California,Paso Robles,Central Coast,,,Midnight 2009 Estate Merlot,Merlot,Midnight,https://californiawineryadvisor.com/wp-content/uploads/2015/04/midnight-cellars-3bottlewhiteback.jpg,"['fruit', 'cherry', 'pepper']",red,2009
45,56,32929,Australia,"This style of simply yummy, quaffable wine is what Australian Grenache is so capable of producing. Despite high alcohol (16.5%), it doesn't show heat on the palate, instead offering oodles of black cherries and some accents of baking spices. It's round, supple and easy to drink, with a touch of coffee on the finish. Imported by USA Wine West.",Old Vine,88,21,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Fire Block 2004 Old Vine Grenache,Grenache,Fire Block,"https://www.wine.com/product/images/w_600,h_600,dpr_2.0,c_fit,q_auto:good,fl_progressive/98417.jpg","['spice', 'coffee']",red,2004
46,57,95685,US,"Bright cherry and mellow menthol flavors dance on a smooth but firm texture of light tannins in this full-bodied wine. A cedary, minty character lasts into the finish.",,87,17,California,Mendocino County,,Jim Gordon,@gordone_cellars,Weibel Family 2013 Zinfandel,Zinfandel,Weibel Family,https://images.vivino.com/thumbs/I_ACXuFNSEu_m7w4pcCG_g_150x200.jpg,['cherry'],red,2013
47,58,20890,US,"A new label for MacMurray Ranch, this Pinot Gris is stony in fresh nectarine, pear and mango, wrapped in a creamy texture that develops fleshy flavors of fig in the glass. The fruit is sourced from both MacMurray Ranch and Gallo's cooler Russian River Valley outpost, Two Rock, near Petaluma.",,88,20,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,MacMurray Estate Vineyards 2013 Pinot Gris,Pinot Gris,MacMurray Estate Vineyards,https://www.macmurrayestatevineyards.com/sites/default/files/bottle-shots/pinotgris-bottle-mobile.png,"['fruit', 'pear']",white,2013
48,60,18994,Italy,"Prune, grilled herb and a whiff of salted-game aromas carry over to the light-bodied palate along with dried black cherry and a hint of clove. It's über-simple, with loose fleeting tannins.",,84,20,Veneto,Valpolicella Classico Superiore,,Kerin O’Keefe,@kerinokeefe,Monte Santoccio 2015  Valpolicella Classico Superiore,Red Blend,Monte Santoccio,http://swig.co.uk/cdn/shop/files/BC_Upload_24e807e5-254d-48b9-8332-9fea9092a33c_1024x1024.jpg?v=1712328791,"['cherry', 'herb', 'prune']",red,2015
49,62,52944,US,"Given 22 months in new French oak, this reserve Pinot Noir still brings the fruit front and center. Blackberries rule here, but there is a strong menthol/mint streak as well, which leaves the palate feeling as if a curiously strong breath mint has recently passed through. Kason seems to have great fruit sources, packaged in a rather rustic style, but offering quite delicious and bold flavors at moder prices.",Old Vine Reserve,88,29,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Kason 2006 Old Vine Reserve Pinot Noir,Pinot Noir,Kason,https://cdn.ct-static.com/labels/42dc49cf-7e84-47ce-a69b-4319a7117ebe.jpg,"['fruit', 'oak']",red,2006
50,63,116906,France,"This wine offers red berry fruits, the softest tannins and texture and an earthy, rustic aftertaste. Drink now.",Harmonie,83,35,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Charles Frey 2013 Harmonie Pinot Noir,Pinot Noir,Domaine Charles Frey,https://api.walaclub.sg/storage/media/621-1602751632.jpg,"['fruit', 'berry', 'earth']",red,2013
51,64,111902,US,"Aromas recall dried herbs, blueberry, dill and vanilla. The palate brings rich blue fruit and cocoa flavors backed by firm, slightly dry tannins.",,88,28,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Mercer 2012 Cabernet Sauvignon ),Cabernet Sauvignon,Mercer,https://images.albertsons-media.com/is/image/ABS/960090797-ECOM?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,"['fruit', 'berry', 'vanilla', 'herb', 'cocoa']",red,2012
52,66,70973,Italy,"This 90th anniversary edition boasts enticing aromas of baked plum, crushed violet, new leather, French oak and a whiff of pipe tobacco. The firm concentrated palate presents layers of dried blackberry, black cherry extract, licorice and cake spice framed in assertive fine-grained tannins. Give it a few more years to fully develop. Drink through 2018–2026.",Famiglia Pasqua Riserva,92,190,Veneto,Amarone della Valpolicella,,Kerin O’Keefe,@kerinokeefe,Pasqua 2006 Famiglia Pasqua Riserva,Red Blend,Pasqua,https://www.internationalwinechallenge.com/canopy/images/wine_images/IWC/wine/2016/zoom/1079.jpg,"['berry', 'cherry', 'oak', 'spice', 'leather', 'plum']",red,2006
