        Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,img_url,extracted_flavors,wine_type
78536,US,"Amidst cola and sassafras on the nose, there's a bit of rotting cherry funk and some compost pile aromas to this intriguing single-vineyard Syrah from the Los Alamos area. The little bit of cherry sweetness on the palate gets more serious with chopped herbs, tobacco and cedar.",White Hawk Vineyard,89,38.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Deep Sea 2011 White Hawk Vineyard Syrah (Santa Barbara County),Syrah,Deep Sea,https://www.conwayfamilywines.com/assets/client/File/DSsyrahBlackB%205-13.jpg,"['cherry', 'herb']",red
41016,France,"This ripe, fruity wine has both freshness and a warmer, rounded character. Apricot and fresh white peach fruits are filled out with almond flavors as well as acidity. It's a wine to enjoy now, although it will be better from 2016",Réserve des Vignerons,86,14.0,Loire Valley,Saumur,,Roger Voss,@vossroger,Cave de Saumur 2014 Réserve des Vignerons  (Saumur),Chenin Blanc,Cave de Saumur,https://www.enobytes.com/wp-content/uploads/2013/12/saumur-champigny-cabernet-franc.jpg,"['fruit', 'peach']",unknown
81019,France,"This is a smooth and creamy wine with soft apple flavors mingling with almonds and brisk acidity. It has a tight edge of minerality that adds a fine texture, offering a glimpse of the extra richness that can be expected in 2–3 years.",Clos le Vigneau,90,18.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Château Gaudrelle 2010 Clos le Vigneau  (Vouvray),Chenin Blanc,Château Gaudrelle,https://cdn.ct-static.com/labels/ba64b389-81e5-4194-9013-384186f7764c.jpg,"['apple', 'mineral']",unknown
129762,US,"It shows ultrarich tannins and a flavor complexity ranging from briary wild blackberries and prunes to currants, nettles, sweet tea and softened cola. It's absolutely dry, despite or perhaps because of very high alcohol. The wine is unapologetic about that ripeness, instead asking only to be happily paired with barbecue.",,87,20.0,California,Russian River Valley,Sonoma,,,Novy 2012 Zinfandel (Russian River Valley),Zinfandel,Novy,https://californiawinefan.com/wp-content/uploads/2014/07/NovyWines-270x232.jpg,[],red
34634,Portugal,"With a high proportion of generous Alicante Bouschet in the blend, this is a big, bold wine. It has smoky flavors showing a meaty character that's enhanced by 12 months wood aging. Generous tannins give a rich, structured character. It could still do with some aging, so drink from 2017.",Santos da Casa Reserva,91,19.0,Alentejano,,,Roger Voss,@vossroger,Casca Wines 2011 Santos da Casa Reserva Red (Alentejano),Portuguese Red,Casca Wines,https://www.portugalvineyards.com/97633-home_default/lapa-dos-gaivoes-grand-reserve-red-2011.jpg,[],red
20284,Italy,"Baked plum, blue flower, dark spice, vanilla and dried herb emerge in the glass. The dense, chewy palate offers mature black cherry, raspberry jam, fig and sweet cake spice alongside velvety tannins. It has hit its ideal drinking window so enjoy soon.",Caleno Oro,88,,Southern Italy,Campania,,Kerin O’Keefe,@kerinokeefe,Nugnes 2009 Caleno Oro Aglianico (Campania),Aglianico,Nugnes,https://botta-di-cru.com/cdn/shop/products/caleno_oro.jpg?v=1652265246,"['berry', 'cherry', 'vanilla', 'spice', 'herb']",unknown
111397,US,"The winery says this high-alcohol wine, made from Muscat and Verdelho, was aged for ten years in barrels. It has a floral, Sherry taste, with that distinctive yeasty flavor undergirding quite sweet pineapples, oranges, apricots and white chocolate.",Dessert Wine,86,20.0,California,California,California Other,,,Elkhorn Peak NV Dessert Wine White (California),White Blend,Elkhorn Peak,https://premierenapavalley.com/img/pages/press/premiere-napa-valley-in-the-press.jpg,"['apple', 'chocolate', 'floral']",white
26153,Germany,"Hints of lemon shortbread, fresh apple and white flower unfold on the nose of this delicately honeyed wine. On the palate, sweet white-peach and yellow-cherry flavors run just a shade off dry. Easy going and fresh, it finishes long, with a streak of tangerine acidity.",Dom Off-Dry,89,18.0,Mosel,,,Anna Lee C. Iijima,,Bischöfliche Weingüter Trier 2015 Dom Off-Dry Riesling (Mosel),Riesling,Bischöfliche Weingüter Trier,https://boutinot.com/product/large/GBW003.png,"['apple', 'peach', 'cherry', 'lemon', 'honey']",white
110148,Italy,"Notes of cherry and raspberry open the nose of this organic wine. It is easy on the palate, with a lean, fruit-filled finish.",Vriccio,86,20.0,Southern Italy,Puglia,,,,Antica Enotria 2011 Vriccio Primitivo (Puglia),Primitivo,Antica Enotria,https://images.vivino.com/thumbs/0epNvBD-RmuKmULeTnT5jA_pl_375x500.png,"['fruit', 'berry', 'cherry']",unknown
125453,US,"A blend of Ciel du Cheval and Force Majeure vineyards, this wine brings a mix of pomegranate, dark raspberry, dried tobacco, crushed rock and peppery spices. It explodes on the palate with rich, dense, cranberry and spice flavors that linger.",Crazy Mary,93,48.0,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Mark Ryan 2012 Crazy Mary Mourvèdre (Red Mountain),Mourvèdre,Mark Ryan,https://www.wineenthusiast.com/wp-content/assets/reviews/label-images/wine/wine/440511_227_FEBMAR24.JPG,"['berry', 'spice', 'pepper']",red
69961,Chile,"Fleshy, tropical aromas with a touch of varietal snap set up a green palate with sweet lime and scallion flavors. The finish shows ripeness and tropical notes before turning heavy. Drink this well chilled.",U Estate Grown,85,11.0,Maipo Valley,,,Michael Schachner,@wineschach,Undurraga 2012 U Estate Grown Sauvignon Blanc (Maipo Valley),Sauvignon Blanc,Undurraga,https://s3.amazonaws.com/delectable-profile-photos/emily-mclintock-1-1419297666-f54bdbfadc7b_250x250.jpg,"['tropical', 'lime']",white
73036,Australia,"This restrained, medium-bodied Cabernet Sauvignon is a solid value. On the nose, cedar, vanilla and cassis elements blend together easily, while brown sugar and vanilla flavors are supported by just enough cassis and black cherry fruit. Drink now–2028.",Two Passions,90,20.0,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Wildberry Estate 2013 Two Passions Cabernet Sauvignon (Margaret River),Cabernet Sauvignon,Wildberry Estate,https://southernstarz.com/wp-content/uploads/2020/01/Wildberry-Two-Passions-Cabernet-Sauvignon-2013-Hi-Res-Label-895x1024.jpg,"['fruit', 'cherry', 'vanilla']",red
42766,US,"Intense perfume and floral notes overcome ripe apple aromas. It's dry on the palate with flavors of savory apple and green herbs, but feels a bit flat and heavy in mouthfeel.",,83,25.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Palmer 2012 Albariño (North Fork of Long Island),Albariño,Palmer,https://cdn.ct-static.com/labels/000c4934-9945-49e2-97e8-dc2a4191b0f8.jpg,"['apple', 'herb', 'floral']",unknown
96340,US,"This cool climate region is well-suited to this grape, producing aromatic, elegant wines such as this without the over-the-top perfume that can drive consumers away. Subtle aromas suggest light talc, acacia and calla lily, while in the mouth this is soft and smooth. Overall it's just plain pretty, with details of apple and apple skin.",Gorge Crest,90,28.0,Oregon,Columbia Gorge (OR),Oregon Other,Paul Gregutt,@paulgwine ,Phelps Creek 2015 Gorge Crest Gewürztraminer (Columbia Gorge (OR)),Gewürztraminer,Phelps Creek,https://cdn.shoplightspeed.com/shops/656366/files/65488628/660x900x2/2023-phelps-creek-gorge-crest-gewurztraminer.jpg,['apple'],unknown
9203,Portugal,"A soft apple-tinged wine, with bright acidity that cuts right through. The wine is rounded, with just enough crispness. Ready to drink.",Conde de Vimioso Colheita Seleccionada,86,9.0,Tejo,,,Roger Voss,@vossroger,Falua 2010 Conde de Vimioso Colheita Seleccionada White (Tejo),Portuguese White,Falua,https://www.portugalvineyards.com/101185-home_default/magnum-conde-de-vimioso-selected-harvest-red-2019.jpg,['apple'],white
88712,Italy,"Here's a Pinot Grigio that ranks high in terms of fresh, easy-drinking white wine options from northern Italy. The bouquet delivers crisp tones of honeydew melon, herb and a distant mineral dusting. In the mouth, it shows balanced freshness and a bright peach finish.",,87,17.0,Northeastern Italy,Alto Adige,,,,Erste Neue 2011 Pinot Grigio (Alto Adige),Pinot Grigio,Erste Neue,https://images.squarespace-cdn.com/content/v1/5efb98a1a164d25189096e25/1617904148416-PQ8Y4559FRK21OB0OBNM/Erste+7+Neue.png,"['peach', 'herb', 'honey', 'mineral']",white
38625,Spain,"Sweaty and pickled at first, although airing reveals some hidden dark fruit aromas. The palate is grapy and accented by black plum, yet it finishes salty and cheeky, with grabby tannins. Has it good points but lacks direction and elegance.",Viña Tobía,84,11.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Bodegas Tobía 2005 Viña Tobía  (Rioja),Tempranillo,Bodegas Tobía,https://jamonesibericosmadrid.com/wp-content/uploads/2021/01/tobia-seleccion-de-autor-tinto-2017-2.jpg,['fruit'],unknown
74575,Italy,"This plush Syrah opens with a pretty ruby color and thick, almost syrupy, tones of blueberry and raspberry. The fruit aromas are followed by spice and roasted almonds and the wine is succulent and chewy to the very end.",Una Viola Signature,88,16.0,Sicily & Sardinia,Sicilia,,,,Spadina 2006 Una Viola Signature Syrah (Sicilia),Syrah,Spadina,https://www.nataliemaclean.com/images/winepicks/0dbb9ec34d2eb5baad874a49596b4b17/12645-label.jpg,"['fruit', 'berry', 'spice']",red
129599,France,"This is pretty pale for a Tavel, with a coppery tinge to its pink color. Notes of lime zest, wet stone and modest cherry-berry notes finish on a bright citrus note.",,90,24.0,Rhône Valley,Tavel,,Joe Czerwinski,@JoeCz,Prieuré de Montézargues 2014  Tavel,Rosé,Prieuré de Montézargues,https://www.kenswineguide.com/images_wine/Prieure-de-Montezargues-2014-Rose.gif,"['berry', 'citrus', 'cherry', 'lime']",rosé
2062,US,"This brilliant Sauvignon Blanc should be scooped up by sommeliers. It's exceptionally dry and tart in citrusy acids, with a mineral scour that's perfect for shellfish or savory appetizers. The flavors are of lemons, limes, gooseberries and white pepper. Beautiful and compelling.",,91,17.0,California,Napa Valley,Napa,,,Broman 2008 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Broman,https://naples.floridaweekly.com/wp-content/uploads/images/2010-04-08/094p4.jpg,"['citrus', 'lemon', 'lime', 'pepper', 'mineral']",white
59333,Argentina,"Foxy berry aromas are the lead scent, and they're followed by notes of wet dog and raspberry. This is full bodied and round as a ball, with earthy, lightly herbal flavors of red berries, thyme and rosemary. A warm, loamy finish brings oaky flavors and closing weight. Drink this blend of 70% Malbec and 30% Cabernet Sauvignon through 2016.",Amancaya Gran Reserva,89,21.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Bodegas Caro 2011 Amancaya Gran Reserva Malbec-Cabernet Sauvignon (Mendoza),Malbec-Cabernet Sauvignon,Bodegas Caro,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiwwQ9940TYwabjfExXHYySsGRTgj3232be3IwRIRYVgVx8_E4aHrXuCEFQGzdn5TEBzI1P7xq4aPFcI_Iv0ce36k2b7I8CBjOKVrVlGVC4HLb8muNdMTHqLo3wwSlc2aU_A7Kvm7TV_sc2/s1600/AmancayaWide.jpg,"['berry', 'oak', 'herb', 'earth']",red
51953,South Africa,"A decadent blend of ripe berries and rich oak characterizes this wine; sweet smoke and baking spice mingle harmoniously with notes of mashed raspberry and blackberry, accented by hints of hickory-cured bacon and raw cocoa nibs. The medium-weight mouth is structured and bold, with chewy tannins and heady flavors of plum and berry preserves, roasted coffee and sweet licorice. The finish is long and dry, and although this would certainly benefit from 5–10 years of cellaring time, it's approachable now with decanting.",Redhill,92,38.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Simonsig 2011 Redhill Pinotage (Stellenbosch),Pinotage,Simonsig,https://www.wineenthusiast.com/wp-content/assets/reviews/label-images/wine/wine/186071_55BE_MAR14_3390.jpg,"['berry', 'oak', 'spice', 'smoke']",red
50600,US,"Tastes a bit medicinal, with a sweet-sour quality of lemons and pineapples, and is quite acidic. Lacks richness, but it's a decent everyday Chardonnay.",,83,14.0,California,Central Coast,Central Coast,,,Castoro Cellars 2007 Chardonnay (Central Coast),Chardonnay,Castoro Cellars,https://www.wineenthusiast.com/wp-content/uploads/2024/05/Tasting-Room-Front-2-1-629x624.jpg,"['apple', 'lemon']",white
93473,Portugal,"Quinta do Pégo produces a light, fast maturing style of vintage Port. This 2009 has the bonus of great richness, although its fruity character and soft tannins suggest it will mature rapidly.",Quinta do Pégo Vintage,87,28.0,Port,,,Roger Voss,@vossroger,Rozes 2009 Quinta do Pégo Vintage  (Port),Port,Rozes,https://www.internationalwinechallenge.com/canopy/images/wine_images/IWC/wine/2014/zoom/6051.jpg,['fruit'],dessert
105270,US,"A surprisingly green tinge vies with tobacco, raspberry and woodspice for attention. This wine is full in feel with good concentration of flavors but ultimately the greenness provides distraction.",,88,28.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Tamarack Cellars 2012 Merlot (Columbia Valley (WA)),Merlot,Tamarack Cellars,"https://tam.imgix.net/common/images/products/tc-2012-sagemoor-vineyard-reserve-mainLg.png?auto=compress,format&trim=color&fit=fill&bg=00cccccc&pad=20&h=600&w=246","['berry', 'spice']",red
25069,France,"Dense and dry, this is a tough, extracted wine. It has a hard edge followed by juicy acidity and will probably remain on the dry side.",,85,20.0,Bordeaux,Blaye Côtes de Bordeaux,,Roger Voss,@vossroger,Château Grand Bourgeau 2015  Blaye Côtes de Bordeaux,Bordeaux-style Red Blend,Château Grand Bourgeau,https://images.vivino.com/thumbs/00ikc8fux7sur_375x500.jpg,[],red
1472,US,"This varietal Cabernet Sauvignon hails from the producer's organic Chiles Valley estate. It's muscular and lushly layered, with spicy leather and tobacco notes accented by a delicate touch of violet and supported by firm, grippy tannin. Drink now through 2033.",Sievers Reserve,93,80.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Volker Eisele Family Estate 2013 Sievers Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Volker Eisele Family Estate,https://cdn.ct-static.com/labels/6030a771-5455-4782-86a4-dadb8fe3e283.jpg,[],red
54640,Spain,"Standard berry aromas show touches of raisin and earth, but not too much of either. It feels fresh, crisp and alert, with cherry tomato, berry fruit, tobacco and vanilla flavors. This feels healthy but not real deep or complex on the finish.",Single Vineyard Roble,86,13.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Finca El Encinal 2009 Single Vineyard Roble  (Ribera del Duero),Tempranillo,Finca El Encinal,https://www.jamessuckling.com/shared/uploads/2022/05/cantina-terran-min-1-e1652850620332.jpg,"['fruit', 'berry', 'cherry', 'vanilla', 'earth']",unknown
118066,US,"The blend is mainly Cabernet Sauvignon, with the other four classic Bordeaux varieties added for complexity. The grapes were sourced from vineyards throughout Sonoma County, and the finished wine was aged in 75% new oak. It's very fine, with concentrated, intense blackberry, cherry and crème de cassis flavors.Minerality, in the form of granite, lends a lick of stone. It's still extremely tannic, and needs much more timebefore it begins to come around.",La Joie,96,450.0,California,Sonoma County,Sonoma,,,Verité 2007 La Joie Red (Sonoma County),Bordeaux-style Red Blend,Verité,https://vintagedrinksonline.co.uk/wp-content/uploads/2023/02/UNI01600.jpg,"['berry', 'cherry', 'oak', 'mineral']",red
123779,Portugal,"Named after Siza Vieira, the architect of the modern Adega Mayor winery, this dense, darkly colored wine is hugely ripe, with great fruits and rich coffee and spice flavors. It's a wine that perfectly fits the adjective opulent, powered by great fruits and dense tannins, with fine aging potential. Drink from 2017.",Siza,93,75.0,Alentejano,,,Roger Voss,@vossroger,Adega Mayor 2009 Siza Alicante Bouschet (Alentejano),Alicante Bouschet,Adega Mayor,https://www.wineenthusiast.com/wp-content/uploads/2024/04/04_24_The_Best_Tannat_Wines_to_Drink_Right_Now_HERO_BeverageWarehouse_MCV_blackpoolmattswineclub_Allegretto_1920x1280.jpg,"['fruit', 'spice']",unknown
73985,France,"A gorgeously perfumed wine, dominated by the ripest Cabernet Franc, combining richness and an intense structure. With its tannins, it will age well over many years. The fruit is finely textured, deliciously juicy, showing the most complex series of flavors.",,95,295.0,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Le Dôme 2009  Saint-Émilion,Bordeaux-style Red Blend,Le Dôme,https://cdn.klwines.com/images/skus/1114481x.jpg,['fruit'],red
48269,US,"New oak dominates this wine, giving it aromas of toast and vanilla. After decanting, the air brings out interesting notes of dried herbs and blackberries. Tastes very rich and flamboyant, almost sweet, like a chocolate berry pastry, and should develop over the next few years. Mainly Cabernet Sauvignon, with Sangiovese, Cabernet Franc and Petit Verdot.",Meritaggio,90,55.0,California,Napa Valley,Napa,,,David Arthur 2008 Meritaggio Red (Napa Valley),Red Blend,David Arthur,https://www.davidarthur.com/wp-content/uploads/2019/04/wines_15meritaggio.png,"['berry', 'chocolate', 'vanilla', 'oak', 'herb']",red
88504,Australia,"This blend of 79% Sauvignon Blanc and 21% Semillon is pungent and sweaty, with an almost Collio-like pungency. It's a bold, in-your-face passion-fruit monster that fades quickly on the finish.",Miamup,88,23.0,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Howard Park 2015 Miamup Sauvignon Blanc-Semillon (Margaret River),Sauvignon Blanc-Semillon,Howard Park,https://winebow-files.s3.amazonaws.com/public/styles/algolia_products/public/vintage/bottleshots/I0009403_howard-park2016miamup-sbs.jpg?VersionId=4tuK0P5.RobohVslHUZoIo1pvUu86XHM&itok=Ghyzky_1,['fruit'],white
102631,Portugal,"All the warm southern heat of the Alentejo is in this wine. It is rich, generous and full of ripe, black fruits. Berries and juicy damsons are spiced with pepper, rich tannins and lifted by acidity. It is a wine for big meat dishes, for stews, a powerful, no-holds-barred style. It will be ready to drink from 2017.",Azul Portugal Reserva,90,40.0,Alentejano,,,Roger Voss,@vossroger,Wines & Winemakers 2013 Azul Portugal Reserva Red (Alentejano),Portuguese Red,Wines & Winemakers,https://winehouseportugal.com/15041-home_default/azul-portugalsko-alentejo-reserva-2013-cervene-vino.jpg,"['fruit', 'spice', 'pepper']",red
64187,South Africa,"73% Merlot, with Cabernet and Petite Verdot making up the difference, this is a finely crafted and delicious effort. Medium-bodied and creamy, the Merlot gives this wine a feminine feel, despite solid, soft tannins. Dark, extracted black fruits have some accents of forest and black olive, while leather adds to the cherry and cassis nose. Could use time to soften further, but very approachable now.",,90,55.0,Stellenbosch,,,,,Tokara 2003 Red (Stellenbosch),Bordeaux-style Red Blend,Tokara,https://cdn.ct-static.com/labels/97d8f3e9-6e44-4b75-bb25-925e04ef9e0a.jpg,"['fruit', 'cherry']",red
124726,Georgia,"This inky red-violet wine has a nose of blueberry pie, green pepper and violet. It is slightly tart at first sip, with tannins that hide at first and then coat the tongue and gums. A rich flavor profile of blackberry, cranberry, anise, violet and white chocolate makes way for cherry and chocolate notes in the finish.",Mukuzani,90,16.0,Kakheti,,,Mike DeSimone,@worldwineguys,Teliani Valley 2013 Mukuzani Saperavi (Kakheti),Saperavi,Teliani Valley,https://bestbuyliquors.com/media/catalog/product/cache/d7df2e2181317fa7bc2566aa0a291dfe/t/e/teliani-valley-saperavi-2013.jpg,"['berry', 'cherry', 'chocolate', 'pepper']",unknown
118840,Italy,"Succulent steak or breaded veal would make good pairing partners to this elegant Brunello. The wine delivers oak spice, red fruit, black pepper and balsam notes of dried ginger and cola. The wine is lively and delicate with some astringency to the tannins that will soften in a few more years.",Agricola Centolani,90,,Tuscany,Brunello di Montalcino,,,,Pietranera 2008 Agricola Centolani  (Brunello di Montalcino),Sangiovese Grosso,Pietranera,"https://www.wine-searcher.com/images/labels/53/42/10355342.jpg?width=260&height=260&fit=bounds&canvas=260,260","['fruit', 'oak', 'spice', 'pepper']",unknown
121814,France,"This wine is firm with solid tannins. It has rich fruit and concentration with layers of blackberry and dark plums. It comes from a small seven-acre property and is aged for 15 months in wood. This impressive wine needs to age, so drink from 2022.",Cuvée Excellence,92,35.0,Bordeaux,Pomerol,,Roger Voss,@vossroger,Château Lafleur du Roy 2015 Cuvée Excellence  (Pomerol),Bordeaux-style Red Blend,Château Lafleur du Roy,http://merchantofwine.com/cdn/shop/products/Chateau-Lafleur-du-Roy-Cuvee-Excellence-Bordeaux-France-2014.jpg?crop=center&height=1200&v=1672691261&width=1200,"['fruit', 'berry']",red
81493,Italy,"This opens with delicate scents of field flower and white stone fruit. On the creamy off-dry palate, a soft mousse backs up sweet white peach, green apple and a candied citrus note while bright acidity lends freshness.",Dry,88,22.0,Veneto,Valdobbiadene Prosecco Superiore,,Kerin O’Keefe,@kerinokeefe,Andreola 2016 Dry  (Valdobbiadene Prosecco Superiore),Glera,Andreola,https://static.xtrawine.com/images/products/wines/andreola-valdobbiadene-vigneto-dirupo-extra-dry_26275_1.webp,"['fruit', 'citrus', 'apple', 'peach']",sparkling
54403,France,"Steely, minerally and very textured, this has concentratio and taut layer of acidity to go with the lime fruit. Powered by its structure, it will age for 3–4 years.",Vau de Vey Premier Cru,92,36.0,Burgundy,Chablis,,Roger Voss,@vossroger,Romain Bouchard 2010 Vau de Vey Premier Cru  (Chablis),Chardonnay,Romain Bouchard,https://www.magnumdevin.com/2784-large_default/magnum-white-wine-chablis-1er-cru-vau-vey-domaine-de-l-enclos-2022.jpg,"['fruit', 'lime', 'mineral']",white
59409,US,"This wine is hugely robust in concentration and power, a study in mountain-grown brambly berry and serious tannin. Bark, pencil and a wealth of spiced plum form the core of its character, with secondary elements of cherry and cigar box coming into play over time. Enjoy best beginning in 2024 through 2034.",Stir It Up Stagecoach Vineyard,94,110.0,California,Napa Valley,Napa,Virginie Boone,@vboone,World's End 2014 Stir It Up Stagecoach Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,World's End,https://portal.wine.delivery/media/catalog/product/cache/image/1080x1080/e9c3970ab036de70892d86c6d221abfe/2/6/269577_world_s_end_stir_it_up_stagecoach_cabernet_sauvignon_2014_pp.jpg,"['berry', 'cherry', 'spice']",red
15304,Italy,"Black plum, tilled soil, leather and grilled sage aromas lead the nose on this structured wine. The dense palate delivers blackberry, blueberry, dried date, roasted coffee bean and mocha alongside firm, drying tannins. A licorice note marks the finish.",Podere Le Maragnole,89,45.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Le Bertarole 2010 Podere Le Maragnole  (Amarone della Valpolicella Classico),Red Blend,Le Bertarole,https://www.wineenthusiast.com/wp-content/uploads/2024/08/08_24_Full_Bodied_Reds_HERO_Wine.com_700x466-290x191.jpg,['berry'],red
82129,US,"There's a touch of crushed ant aroma on the nose of this wine from an old Paso vineyard, which also also gives scents of ripe stone fruit, lime pith and dill. Once sipped, a pear juice flavor dominates along with a lime juice-on-nectarine element that adds a sour twist.",HMR Vineyard,88,40.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Adelaida 2013 HMR Vineyard Chardonnay (Paso Robles),Chardonnay,Adelaida,x-raw-image:///2315140fe8e2b70727b1eb49679fb83330844b93879180fbf303d661cfac1437,"['fruit', 'pear', 'lime']",white
